Frequency,90_THP,80_THP,60_THP,50_THP,40_THP,30_THP,20_THP,10_THP,Air
1,3224.17,2780.66,2595.76,2478.08,2390.15,2298.47,2123.54,1874.99,38929.82404
10,2024.17,1680.66,1595.76,1478.08,1390.15,1298.47,1123.54,874.99,3955.39934
20,1126,976.29,955.98,862.87,820.54,780.32,700.87,689.44,1997.185961
30,742.65,677.93,673.68,647.54,605.59,539.52,442.65,405.11,1343.059076
40,559.08,518.73,501.79,467.88,432.85,439.51,355.86,286.96,1009.33768
50,436.69,429.05,418.65,405.33,387.57,343.92,334.69,332.52,801.6472487
60,354.35,339.51,330.04,327.44,322.36,247.05,235.07,221.35,667.662462
70,302.75,286.04,284.23,283.14,273.37,260.68,254.99,246.71,565.7950283
80,260.02,248.73,245.5,237.2,233.72,231.34,225.05,221.95,492.1229242
90,226.16,223.99,220.47,214.65,211.55,204.28,199.03,192.41,439.07116
100,200.86,196.14,192.13,187.76,183.9,179.49,173.31,160.26,394.7013138
