Air,Water
38929824.04,38888585.75
19462896.83,22700489.12
13037263.1,16612042.38
9783742.996,13595367.38
7710115.26,10772322.91
6521948.627,8904080.995
5556903.624,7706055.886
4831802.468,6776627.372
4324185.025,6045059.908
3955399.34,5521731.137
3584190.881,5015037.077
3277279.548,4528634.01
3020921.769,4101191.531
2814116.808,3760437.509
2641779.009,3535808.675
2493726.092,3297263.01
2353134.36,3116293.121
2217056.906,2941154.671
2098744.624,2763639.308
1997185.961,2606148.45
1921614.724,2472551.093
1819863.673,2360810.381
1741927.009,2252003.094
1664923.924,2144922.898
1589432.465,2052149.946
1526157.417,1964037.477
1482127.574,1899333.219
1431043.227,1825710.373
1397793.176,1765866.961
1343059.076,1692293.45
1292697.738,1625307.555
1255979.006,1566612.018
1222361.76,1512333.863
1177018.939,1458136.027
1145291.242,1415003.174
1116568.195,1376188.232
1093046.427,1333959.698
1063999.412,1291295.105
1031636.862,1249636.051
1009337.68,1217607.336
984321.2552,1181554.677
956625.7413,1149072.131
929642.3081,1118480.606
909910.2578,1092346.16
896897.2045,1074522.524
873897.9461,1046896.197
855767.8104,1021853.744
834294.2809,996108.9095
821912.0701,975941.296
801647.2487,952292.8316
782192.2887,929972.3985
761737.6188,904206.6728
751289.3268,889760.345
742600.5147,872855.8403
732262.4767,853911.8692
716595.7057,842353.1508
702374.6689,824663.0328
689551.9022,808331.3368
681358.8135,795171.5978
667662.462,779582.1851
654459.7257,759930.5527
646676.8409,749673.311
636146.8318,737150.4414
625926.0171,722746.1085
612335.0471,708963.9846
604179.9315,696150.1278
596169.1648,685415.0841
587379.6449,673503.1579
576438.4319,660965.1755
565795.0283,648391.8438
559634.1527,638201.648
551111.8208,629721.0222
540003.0484,614120.8641
537110.4601,610045.9704
527025.3969,599619.0004
517982.2769,588327.6188
511417.6096,578775.4271
504468.7609,570217.8078
500304.9435,563151.8814
492122.9242,554192.0565
486744.5404,547576.5814
479248.0178,539016.16
477088.3806,532592.2608
469688.6788,523868.3555
464716.6966,518679.9325
459179.3542,510920.4203
453195.7323,503428.0934
448913.3348,497298.1885
443786.2129,492376.7051
439071.16,487345.8953
432844.5095,480534.5852
427830.5618,473896.5112
424338.3411,469642.914
419998.307,462900.2412
416672.611,457401.9565
412487.4772,453180.8513
409953.8276,449148.8799
403983.8091,442397.8904
398986.1276,436889.8608
394701.3138,432534.0172
